Unnamed: 0,Location,Distance,Review_Score,Review_Score_,N_Reviews,Price,latitude,longitude
0,City Center,0.5078361553549706,8.465096001592451,Fabulous ,1105.0,70.0,43.26255270620022,-2.926940834181586
1,Bilbao,0.3020345933809298,8.572189015962056,Fabulous ,1177.0,65.0,43.26589523304583,-2.9290055733354294
2,Ensanche,0.3673927422910424,,,,1291.0,43.26185130542079,-2.93010479820447
3,Ensanche,0.35144769764253314,,,,1308.0,43.26159728155493,-2.9323148472895824
4,City Center,0.4749757338804491,8.520239241067141,Very good ,1265.0,294.0,43.26124044842181,-2.926268043156683
5,City Center,0.26721395810306353,8.934950886349183,Review score ,7709.0,637.0,43.26333753733703,-2.945174664550192
6,City Center,0.797765588100248,8.74976855246016,Fabulous ,3456.0,661.0,43.26014076198422,-2.9471623270066387
7,Deusto,1.440826755254149,7.258925350428623,Good ,330.0,436.0,43.27689914762797,-2.9586329558204194
8,Ensanche,1.7538279722959371,8.363235174740236,Review score ,3329.0,879.0,43.27627553966143,-2.956307265306433
9,Old Town,0.5807245011644281,8.247696224877481,Very good ,561.0,350.0,43.258877844540734,-2.9241397898447405
10,Bilbao,0.8100274982215399,7.543952311655542,Good ,6696.0,573.0,43.26927561934491,-2.91477608808867
11,Ensanche,0.375689567141988,,,,1301.0,43.26194873685648,-2.9313984766486194
12,City Center,0.6496176419248799,8.571287115202301,Very good ,1638.0,348.0,43.262065437435155,-2.9465323341530127
13,Old Town,0.4990952328645989,9.666024627045665,,1797.0,804.0,43.27638993047637,-2.951883813962122
14,Bilbao,1.6691754873993396,9.456144057719982,Very good ,2916.0,1593.0,43.25251994151934,-2.9562653867436093
15,Bilbao,0.6465272163980226,,,,1757.0,43.254867703959164,-2.9269433607746334
16,City Center,0.31700678979323094,8.869965706664082,Very good ,7232.0,1256.0,43.2499743905118,-2.9367105762275014
17,Deusto,1.113302021954623,,Exceptional ,6162.0,1280.0,43.272169425372034,-2.9218166430281847
18,Deusto,1.293553245550573,8.252123758786002,Exceptional 10,2527.0,75.0,43.2692596774391,-2.9088748435942344
19,Bilbao,1.1053500051115406,9.06873975455561,Superb ,2366.0,256.0,43.27543433868601,-2.9327497891383225
20,Bilbao,2.1319554647919525,7.795163402870021,Good ,630.0,141.0,43.27799631369781,-2.969851265884512
21,Old Town,1.285624313351113,6.955919360615071,Exceptional 10,3704.0,108.0,43.27062149547283,-2.9120871640476054
22,Ensanche,2.0913854129495704,8.064157122939001,Review score ,527.0,154.0,43.26272833340692,-2.9671380616305467
23,Bilbao,1.4783747787389323,9.75104505543439,Fabulous ,2618.0,1229.0,43.269276421297015,-2.958374813172892
24,Ensanche,0.2738431678423812,8.687941344646909,Fabulous ,7615.0,1016.0,43.255068694712456,-2.9306329222825425
25,Ensanche,0.23720552825037966,9.36384359402396,,1716.0,313.0,43.26331257854522,-2.935842607973774
26,Bilbao,0.5660069492243051,8.464910208788076,Fabulous ,154.0,184.0,43.25405091773153,-2.9390185868296834
27,Deusto,0.7807102151078659,8.743603014909544,Review score ,5259.0,1035.0,43.27627513256941,-2.9127260386099834
28,City Center,0.7118742720693745,8.528105720666403,Very good ,1637.0,326.0,43.26159688839533,-2.9473067366662438
29,Deusto,1.013069809911934,8.937537173702543,,1285.0,573.0,43.26128146722383,-2.930097776584161
30,Ensanche,0.2743232370508816,9.989753118997028,Exceptional ,263.0,840.0,43.258947605537855,-2.936309502527008
31,City Center,0.6085328428756572,9.720157447731957,Exceptional 10,5889.0,1691.0,43.270201591105526,-2.962159987959956
32,Ensanche,0.252966741525025,8.609181521429818,Fabulous ,,640.0,43.26108105718287,-2.929238727565277
33,City Center,0.70122319930083,8.522984945268078,Very good ,1936.0,349.0,43.26219619182214,-2.947651013197605
34,Ensanche,0.4786671586056013,7.14391874202452,Superb ,735.0,1070.0,43.24965867705142,-2.9255031488152823
35,City Center,0.6232032040616328,8.457833845701733,Very good ,1716.0,373.0,43.26154263727334,-2.946602768853147
36,Ensanche,2.172352689522572,,,,1293.0,43.26244940029012,-2.9315621906304616
37,Ensanche,0.36524759484666647,,,,1334.0,43.26165775968871,-2.929508302969738
38,Deusto,1.4922688000187123,7.307475378753993,Good ,152.0,470.0,43.27687509031424,-2.958816148345143
39,Ensanche,0.39181329303059614,9.15728370756644,Superb ,7597.0,1016.0,43.26487308033028,-2.9318919889195385
40,Old Town,0.5232945417232868,8.227288209274672,Very good ,1416.0,151.0,43.25915073757809,-2.923640931343596
41,Bilbao,0.7691392713740798,7.532547351880986,Fabulous ,6275.0,1182.0,43.260136318020365,-2.9084684437313735
42,City Center,0.7073953646736061,8.505295857880974,Very good ,2289.0,467.0,43.265359817572815,-2.948690258367537
43,Bilbao,1.7308766637656854,7.230239693236874,,1175.0,1237.0,43.25379054945865,-2.94329304045375
44,Ensanche,0.2593497030528107,9.607527067188096,Exceptional ,969.0,352.0,43.265357128439355,-2.9337778119446045
45,Bilbao,1.694041935167081,9.282446243998614,Very good ,2719.0,304.0,43.26463681241876,-2.9597504885241506
46,Ensanche,0.5420279812981903,7.881124342761963,Good ,2987.0,105.0,43.25809423465068,-2.9429687019990807
47,Ensanche,2.1573408321430394,7.191678765048126,Exceptional 10,2946.0,1669.0,43.2540905261266,-2.921075742015583
48,Old Town,1.1385362075043195,,Exceptional 10,298.0,1730.0,43.2588179291125,-2.922188149692634
49,Old Town,0.7172528337786187,,Exceptional 10,249.0,1757.0,43.25889428800172,-2.924544861507078
50,Ensanche,0.30649542946987807,,,4537.0,1505.0,43.262117706425784,-2.94641234771299
51,City Center,0.7646406350006903,8.546757956593924,Very good ,639.0,265.0,43.26032837015828,-2.95033015750333
52,City Center,0.23520761028450002,8.312058708909884,Exceptional 10,446.0,1021.0,43.27811940142425,-2.9221251346870103
53,City Center,0.3574781132790647,7.156892090684131,Very good ,370.0,174.0,43.25409588245067,-2.9367637501260995
54,Ensanche,0.5732832361031657,7.984418174959112,Very good ,2822.0,117.0,43.25741458734415,-2.9444782223044177
55,Bilbao,0.7138295181169267,,,,1744.0,43.25488772715157,-2.9287318800623092
56,Ensanche,0.33666616025774976,8.816620255246583,Fabulous ,2036.0,408.0,43.26389625758908,-2.9258044852672995
57,Ensanche,0.5775568147280226,8.414431088761255,Very good ,1885.0,452.0,43.25828554079598,-2.9439876007876955
58,Ensanche,0.3956017390641432,,Good ,,1264.0,43.26223253584834,-2.9293523421952643
59,Deusto,1.2676339444355764,8.706857998013037,Good ,3124.0,135.0,43.257718689818404,-2.9429546845442647
60,Bilbao,0.7021542315155545,,,,1688.0,43.2539311953727,-2.925981549882807
61,City Center,2.056018883051164,7.903633070720497,Good ,7593.0,1028.0,43.25501108369925,-2.9294824932645467
62,Ensanche,1.0127968020346885,8.357713231988956,Good ,2978.0,578.0,43.26344986625859,-2.942395864745812
63,Bilbao,0.48404149148528186,8.948162109324008,Superb ,380.0,352.0,43.25421123870533,-2.9349168547090496
64,Bilbao,0.3838695013300316,6.964752989169154,Good ,2209.0,254.0,43.256818039807044,-2.9348147083672846
65,City Center,0.2711648266826304,9.886355986455577,Exceptional ,40.0,863.0,43.25833746727071,-2.9374924735339567
66,Old Town,1.7656337495288794,9.920377420760323,Exceptional ,3328.0,1197.0,43.27241161525424,-2.9655222335944607
67,Bilbao,0.6597834312163943,,,,1726.0,43.255238117544856,-2.926243606995699
68,Ensanche,1.2704164863971732,7.933753201003254,Good ,1404.0,281.0,43.273531820376746,-2.928320923252135
69,Bilbao,0.6504552281915448,,,,1687.0,43.2542180264618,-2.9274792383918946
70,Old Town,1.4295899628619526,,Fabulous ,1158.0,855.0,43.27784801647313,-2.9436995696470074
71,Ensanche,0.34432741255975247,,,,1269.0,43.26233260621508,-2.9307492438841023
72,Old Town,1.3727144454688582,9.052464379917081,Superb ,6040.0,247.0,43.27864041014433,-2.922621370101904
73,Ensanche,0.39067958518670426,,,,1293.0,43.262283188760456,-2.9303815017128665
74,City Center,1.260639647848198,8.937540918115735,Fabulous ,2625.0,1056.0,43.2668107021794,-2.944957808411345
75,Bilbao,0.6306781301724744,9.505515618710827,,1426.0,1760.0,43.25192706343063,-2.969555935601864
76,Old Town,0.6965454777575986,,Exceptional 10,350.0,1742.0,43.25839625574127,-2.9232403898613954
77,Deusto,2.0892087138493376,9.498103969065342,Exceptional ,553.0,683.0,43.25523778167511,-2.9245805599081813
78,Old Town,0.7128971274819741,,Exceptional 10,193.0,1755.0,43.25939425697566,-2.9235926978823343
79,Old Town,2.0858244856461,8.547350768405963,Superb ,4278.0,225.0,43.254682374852536,-2.9643664588043057
80,Bilbao,1.8940470760612091,9.719771561670926,Good ,4503.0,395.0,43.25910418499199,-2.9380632356102994
81,City Center,0.8115040406549902,8.616114602539316,Fabulous ,3465.0,712.0,43.26102957335867,-2.948426576958836
82,Deusto,1.3655955380516946,9.401211999893727,Exceptional ,1386.0,109.0,43.25305154449017,-2.925130683576282
83,Ensanche,0.6604142013185971,8.344886811906445,Very good ,3707.0,1576.0,43.26555226910963,-2.9227295129787607
84,Ensanche,0.8886574989856392,9.270162775434436,,6517.0,1059.0,43.2623324322205,-2.9449546524308916
85,City Center,0.4517330019657871,8.420611548086482,Very good ,5051.0,511.0,43.25893324295174,-2.9222008860758724
86,Old Town,0.5046015589755498,8.193256654501978,Exceptional 10,676.0,1369.0,43.262358088238855,-2.953172946918628
87,Bilbao,0.606972024747928,8.475151764239973,Fabulous ,,160.0,43.255045154647334,-2.938971043542828
88,City Center,0.7101015708779947,8.601236739231428,Very good ,1720.0,353.0,43.2623835807074,-2.9485222503200172
89,Deusto,1.4690849349210282,7.319258478974388,Good ,158.0,481.0,43.27707890872629,-2.9574488333728848
90,City Center,1.6032268079506231,8.264512821502683,Superb ,4800.0,573.0,43.25869297237468,-2.9276720344410716
91,City Center,0.974906280605362,8.992069211370676,Review score ,6154.0,243.0,43.264556025220706,-2.943307101670756
92,Ensanche,1.1594419064268002,8.310019339123265,Very good ,3046.0,1142.0,43.255100181895514,-2.912830099623283
93,Deusto,1.1801242032550265,8.075870189582588,Very good ,988.0,206.0,43.26588175905581,-2.956245868986528
94,Old Town,0.7200854323362388,,Exceptional 10,169.0,1713.0,43.25847919498958,-2.924317081406096
95,Bilbao,1.2054437474066355,6.968935173921448,Good ,2902.0,267.0,43.25559782114236,-2.933387123768915
96,Ensanche,1.0946143378437538,9.274297707021235,Very good ,7368.0,1030.0,43.26211414169395,-2.9458720831807557
97,Old Town,0.23539769929030563,7.068559664245288,,2340.0,236.0,43.25017712831491,-2.921904474212023
98,City Center,1.5699881517244705,9.428997363152297,Very good ,1788.0,707.0,43.27234469957348,-2.9568756701256818
99,Bilbao,2.149344723557868,6.942208112850323,Review score ,7217.0,602.0,43.25051860939274,-2.918559144084041
100,Old Town,1.8676099876678591,8.04022063939033,Good ,6398.0,1084.0,43.265328428104155,-2.9514671095074787
101,Ensanche,0.3106281063275994,9.955566780640437,Exceptional ,107.0,858.0,43.25853380521138,-2.9365125809627246
102,City Center,0.6457903318124649,8.77807818179898,Fabulous ,1658.0,1124.0,43.26620451644821,-2.9389242063269543
103,Old Town,0.989878709505279,8.973720366581674,Very good ,2691.0,1681.0,43.277244154505,-2.966910753195069
104,Old Town,1.5210991552846587,8.257624199917911,Very good ,3224.0,636.0,43.2577612044542,-2.9345952297892843
105,City Center,0.643563607500145,8.498001696107226,Very good ,1685.0,376.0,43.26170832499915,-2.946757484678231
106,Old Town,0.9961020476641795,7.652675722003887,,2525.0,636.0,43.261950806930486,-2.9663731581183335
107,Ensanche,0.3587092474457569,,,,1309.0,43.26273110594717,-2.9300459037693347
