0,1,2,3,4
w,h,i,c,h
t,h,e,r,e
t,h,e,i,r
a,b,o,u,t
w,o,u,l,d
t,h,e,s,e
o,t,h,e,r
w,o,r,d,s
c,o,u,l,d
w,r,i,t,e
f,i,r,s,t
w,a,t,e,r
a,f,t,e,r
w,h,e,r,e
r,i,g,h,t
t,h,i,n,k
t,h,r,e,e
y,e,a,r,s
p,l,a,c,e
s,o,u,n,d
g,r,e,a,t
a,g,a,i,n
s,t,i,l,l
e,v,e,r,y
s,m,a,l,l
f,o,u,n,d
t,h,o,s,e
n,e,v,e,r
u,n,d,e,r
m,i,g,h,t
w,h,i,l,e
h,o,u,s,e
w,o,r,l,d
b,e,l,o,w
a,s,k,e,d
g,o,i,n,g
l,a,r,g,e
u,n,t,i,l
a,l,o,n,g
s,h,a,l,l
b,e,i,n,g
o,f,t,e,n
e,a,r,t,h
b,e,g,a,n
s,i,n,c,e
s,t,u,d,y
n,i,g,h,t
l,i,g,h,t
a,b,o,v,e
p,a,p,e,r
p,a,r,t,s
y,o,u,n,g
s,t,o,r,y
p,o,i,n,t
t,i,m,e,s
h,e,a,r,d
w,h,o,l,e
w,h,i,t,e
g,i,v,e,n
m,e,a,n,s
m,u,s,i,c
m,i,l,e,s
t,h,i,n,g
t,o,d,a,y
l,a,t,e,r
u,s,i,n,g
m,o,n,e,y
l,i,n,e,s
o,r,d,e,r
g,r,o,u,p
a,m,o,n,g
l,e,a,r,n
k,n,o,w,n
s,p,a,c,e
t,a,b,l,e
e,a,r,l,y
t,r,e,e,s
s,h,o,r,t
h,a,n,d,s
s,t,a,t,e
b,l,a,c,k
s,h,o,w,n
s,t,o,o,d
f,r,o,n,t
v,o,i,c,e
k,i,n,d,s
m,a,k,e,s
c,o,m,e,s
c,l,o,s,e
p,o,w,e,r
l,i,v,e,d
v,o,w,e,l
t,a,k,e,n
b,u,i,l,t
h,e,a,r,t
r,e,a,d,y
q,u,i,t,e
c,l,a,s,s
b,r,i,n,g
r,o,u,n,d
h,o,r,s,e
s,h,o,w,s
p,i,e,c,e
g,r,e,e,n
s,t,a,n,d
b,i,r,d,s
s,t,a,r,t
r,i,v,e,r
t,r,i,e,d
l,e,a,s,t
f,i,e,l,d
w,h,o,s,e
g,i,r,l,s
l,e,a,v,e
a,d,d,e,d
c,o,l,o,r
t,h,i,r,d
h,o,u,r,s
m,o,v,e,d
p,l,a,n,t
d,o,i,n,g
n,a,m,e,s
f,o,r,m,s
h,e,a,v,y
i,d,e,a,s
c,r,i,e,d
c,h,e,c,k
f,l,o,o,r
b,e,g,i,n
w,o,m,a,n
a,l,o,n,e
p,l,a,n,e
s,p,e,l,l
w,a,t,c,h
c,a,r,r,y
w,r,o,t,e
c,l,e,a,r
n,a,m,e,d
b,o,o,k,s
c,h,i,l,d
g,l,a,s,s
h,u,m,a,n
t,a,k,e,s
p,a,r,t,y
b,u,i,l,d
s,e,e,m,s
b,l,o,o,d
s,i,d,e,s
s,e,v,e,n
m,o,u,t,h
s,o,l,v,e
n,o,r,t,h
v,a,l,u,e
d,e,a,t,h
m,a,y,b,e
h,a,p,p,y
t,e,l,l,s
g,i,v,e,s
l,o,o,k,s
s,h,a,p,e
l,i,v,e,s
s,t,e,p,s
a,r,e,a,s
s,e,n,s,e
s,p,e,a,k
f,o,r,c,e
o,c,e,a,n
s,p,e,e,d
w,o,m,e,n
m,e,t,a,l
s,o,u,t,h
g,r,a,s,s
s,c,a,l,e
c,e,l,l,s
l,o,w,e,r
s,l,e,e,p
w,r,o,n,g
p,a,g,e,s
s,h,i,p,s
n,e,e,d,s
r,o,c,k,s
e,i,g,h,t
m,a,j,o,r
l,e,v,e,l
t,o,t,a,l
a,h,e,a,d
r,e,a,c,h
s,t,a,r,s
s,t,o,r,e
s,i,g,h,t
t,e,r,m,s
c,a,t,c,h
w,o,r,k,s
b,o,a,r,d
c,o,v,e,r
s,o,n,g,s
e,q,u,a,l
s,t,o,n,e
w,a,v,e,s
g,u,e,s,s
d,a,n,c,e
s,p,o,k,e
b,r,e,a,k
c,a,u,s,e
r,a,d,i,o
w,e,e,k,s
l,a,n,d,s
b,a,s,i,c
l,i,k,e,d
t,r,a,d,e
f,r,e,s,h
f,i,n,a,l
f,i,g,h,t
m,e,a,n,t
d,r,i,v,e
s,p,e,n,t
l,o,c,a,l
w,a,x,e,s
k,n,o,w,s
t,r,a,i,n
b,r,e,a,d
h,o,m,e,s
t,e,e,t,h
c,o,a,s,t
t,h,i,c,k
b,r,o,w,n
c,l,e,a,n
q,u,i,e,t
s,u,g,a,r
f,a,c,t,s
s,t,e,e,l
f,o,r,t,h
r,u,l,e,s
n,o,t,e,s
u,n,i,t,s
p,e,a,c,e
m,o,n,t,h
v,e,r,b,s
s,e,e,d,s
h,e,l,p,s
s,h,a,r,p
v,i,s,i,t
w,o,o,d,s
c,h,i,e,f
w,a,l,l,s
c,r,o,s,s
w,i,n,g,s
g,r,o,w,n
c,a,s,e,s
f,o,o,d,s
c,r,o,p,s
f,r,u,i,t
s,t,i,c,k
w,a,n,t,s
s,t,a,g,e
s,h,e,e,p
n,o,u,n,s
p,l,a,i,n
d,r,i,n,k
b,o,n,e,s
a,p,a,r,t
t,u,r,n,s
m,o,v,e,s
t,o,u,c,h
a,n,g,l,e
b,a,s,e,d
r,a,n,g,e
m,a,r,k,s
t,i,r,e,d
o,l,d,e,r
f,a,r,m,s
s,p,e,n,d
s,h,o,e,s
g,o,o,d,s
c,h,a,i,r
t,w,i,c,e
c,e,n,t,s
e,m,p,t,y
a,l,i,k,e
s,t,y,l,e
b,r,o,k,e
p,a,i,r,s
c,o,u,n,t
e,n,j,o,y
s,c,o,r,e
s,h,o,r,e
r,o,o,t,s
p,a,i,n,t
h,e,a,d,s
s,h,o,o,k
s,e,r,v,e
a,n,g,r,y
c,r,o,w,d
w,h,e,e,l
q,u,i,c,k
d,r,e,s,s
s,h,a,r,e
a,l,i,v,e
n,o,i,s,e
s,o,l,i,d
c,l,o,t,h
s,i,g,n,s
h,i,l,l,s
t,y,p,e,s
d,r,a,w,n
w,o,r,t,h
t,r,u,c,k
p,i,a,n,o
u,p,p,e,r
l,o,v,e,d
u,s,u,a,l
f,a,c,e,s
d,r,o,v,e
c,a,b,i,n
b,o,a,t,s
t,o,w,n,s
p,r,o,u,d
c,o,u,r,t
m,o,d,e,l
p,r,i,m,e
f,i,f,t,y
p,l,a,n,s
y,a,r,d,s
p,r,o,v,e
t,o,o,l,s
p,r,i,c,e
s,h,e,e,t
s,m,e,l,l
b,o,x,e,s
r,a,i,s,e
m,a,t,c,h
t,r,u,t,h
r,o,a,d,s
t,h,r,e,w
e,n,e,m,y
l,u,n,c,h
c,h,a,r,t
s,c,e,n,e
g,r,a,p,h
d,o,u,b,t
g,u,i,d,e
w,i,n,d,s
b,l,o,c,k
g,r,a,i,n
s,m,o,k,e
m,i,x,e,d
g,a,m,e,s
w,a,g,o,n
s,w,e,e,t
t,o,p,i,c
e,x,t,r,a
p,l,a,t,e
t,i,t,l,e
k,n,i,f,e
f,e,n,c,e
f,a,l,l,s
c,l,o,u,d
w,h,e,a,t
p,l,a,y,s
e,n,t,e,r
b,r,o,a,d
s,t,e,a,m
a,t,o,m,s
p,r,e,s,s
l,y,i,n,g
b,a,s,i,s
c,l,o,c,k
t,a,s,t,e
g,r,o,w,s
t,h,a,n,k
s,t,o,r,m
a,g,r,e,e
b,r,a,i,n
t,r,a,c,k
s,m,i,l,e
f,u,n,n,y
b,e,a,c,h
s,t,o,c,k
h,u,r,r,y
s,a,v,e,d
s,o,r,r,y
g,i,a,n,t
t,r,a,i,l
o,f,f,e,r
o,u,g,h,t
r,o,u,g,h
d,a,i,l,y
a,v,o,i,d
k,e,e,p,s
t,h,r,o,w
a,l,l,o,w
c,r,e,a,m
l,a,u,g,h
e,d,g,e,s
t,e,a,c,h
f,r,a,m,e
b,e,l,l,s
d,r,e,a,m
m,a,g,i,c
o,c,c,u,r
e,n,d,e,d
c,h,o,r,d
f,a,l,s,e
s,k,i,l,l
h,o,l,e,s
d,o,z,e,n
b,r,a,v,e
a,p,p,l,e
c,l,i,m,b
o,u,t,e,r
p,i,t,c,h
r,u,l,e,r
h,o,l,d,s
f,i,x,e,d
c,o,s,t,s
c,a,l,l,s
b,l,a,n,k
s,t,a,f,f
l,a,b,o,r
e,a,t,e,n
y,o,u,t,h
t,o,n,e,s
h,o,n,o,r
g,l,o,b,e
g,a,s,e,s
d,o,o,r,s
p,o,l,e,s
l,o,o,s,e
a,p,p,l,y
t,e,a,r,s
e,x,a,c,t
b,r,u,s,h
c,h,e,s,t
l,a,y,e,r
w,h,a,l,e
m,i,n,o,r
f,a,i,t,h
t,e,s,t,s
j,u,d,g,e
i,t,e,m,s
w,o,r,r,y
w,a,s,t,e
h,o,p,e,d
s,t,r,i,p
b,e,g,u,n
a,s,i,d,e
l,a,k,e,s
b,o,u,n,d
d,e,p,t,h
c,a,n,d,y
e,v,e,n,t
w,o,r,s,e
a,w,a,r,e
s,h,e,l,l
r,o,o,m,s
r,a,n,c,h
i,m,a,g,e
s,n,a,k,e
a,l,o,u,d
d,r,i,e,d
l,i,k,e,s
m,o,t,o,r
p,o,u,n,d
k,n,e,e,s
r,e,f,e,r
f,u,l,l,y
c,h,a,i,n
s,h,i,r,t
f,l,o,u,r
d,r,o,p,s
s,p,i,t,e
o,r,b,i,t
b,a,n,k,s
s,h,o,o,t
c,u,r,v,e
t,r,i,b,e
t,i,g,h,t
b,l,i,n,d
s,l,e,p,t
s,h,a,d,e
c,l,a,i,m
f,l,i,e,s
t,h,e,m,e
q,u,e,e,n
f,i,f,t,h
u,n,i,o,n
h,e,n,c,e
s,t,r,a,w
e,n,t,r,y
i,s,s,u,e
b,i,r,t,h
f,e,e,l,s
a,n,g,e,r
b,r,i,e,f
r,h,y,m,e
g,l,o,r,y
g,u,a,r,d
f,l,o,w,s
f,l,e,s,h
o,w,n,e,d
t,r,i,c,k
y,o,u,r,s
s,i,z,e,s
n,o,t,e,d
w,i,d,t,h
b,u,r,s,t
r,o,u,t,e
l,u,n,g,s
u,n,c,l,e
b,e,a,r,s
r,o,y,a,l
k,i,n,g,s
f,o,r,t,y
t,r,i,a,l
c,a,r,d,s
b,r,a,s,s
o,p,e,r,a
c,h,o,s,e
o,w,n,e,r
v,a,p,o,r
b,e,a,t,s
m,o,u,s,e
t,o,u,g,h
w,i,r,e,s
m,e,t,e,r
t,o,w,e,r
f,i,n,d,s
i,n,n,e,r
s,t,u,c,k
a,r,r,o,w
p,o,e,m,s
l,a,b,e,l
s,w,i,n,g
s,o,l,a,r
t,r,u,l,y
t,e,n,s,e
b,e,a,n,s
s,p,l,i,t
r,i,s,e,s
w,e,i,g,h
h,o,t,e,l
s,t,e,m,s
p,r,i,d,e
s,w,u,n,g
g,r,a,d,e
d,i,g,i,t
b,a,d,l,y
b,o,o,t,s
p,i,l,o,t
s,a,l,e,s
s,w,e,p,t
l,u,c,k,y
p,r,i,z,e
s,t,o,v,e
t,u,b,e,s
a,c,r,e,s
w,o,u,n,d
s,t,e,e,p
s,l,i,d,e
t,r,u,n,k
e,r,r,o,r
p,o,r,c,h
s,l,a,v,e
e,x,i,s,t
f,a,c,e,d
m,i,n,e,s
m,a,r,r,y
j,u,i,c,e
r,a,c,e,d
w,a,v,e,d
g,o,o,s,e
t,r,u,s,t
f,e,w,e,r
f,a,v,o,r
m,i,l,l,s
v,i,e,w,s
j,o,i,n,t
e,a,g,e,r
s,p,o,t,s
b,l,e,n,d
r,i,n,g,s
a,d,u,l,t
i,n,d,e,x
n,a,i,l,s
h,o,r,n,s
b,a,l,l,s
f,l,a,m,e
r,a,t,e,s
d,r,i,l,l
t,r,a,c,e
s,k,i,n,s
w,a,x,e,d
s,e,a,t,s
s,t,u,f,f
r,a,t,i,o
m,i,n,d,s
d,i,r,t,y
s,i,l,l,y
c,o,i,n,s
h,e,l,l,o
t,r,i,p,s
l,e,a,d,s
r,i,f,l,e
h,o,p,e,s
b,a,s,e,s
s,h,i,n,e
b,e,n,c,h
m,o,r,a,l
f,i,r,e,s
m,e,a,l,s
s,h,a,k,e
